rne_iso_code,year,month,mean_temp_celsius,total_precip_mm,month_start
MX-AGU,1990,1,14.602671701416298,5.690367421043031,1990-01-01
MX-AGU,1990,2,14.523123488580138,9.953637247305172,1990-02-01
MX-AGU,1990,3,17.9006055187122,2.380370561555226,1990-03-01
MX-AGU,1990,4,20.85008358181123,1.3729670952948947,1990-04-01
MX-AGU,1990,5,22.44725597940862,22.422336975813526,1990-05-01
MX-AGU,1990,6,22.150648059347812,24.376620510645537,1990-06-01
MX-AGU,1990,7,19.01528450818667,84.35261623509277,1990-07-01
MX-AGU,1990,8,18.983062205412345,64.49457243247258,1990-08-01
MX-AGU,1990,9,18.382984912591898,46.0218601607928,1990-09-01
MX-AGU,1990,10,17.81298496146001,14.912372812974395,1990-10-01
MX-AGU,1990,11,16.269102526843746,0.6229652009659905,1990-11-01
MX-AGU,1990,12,14.449982304551138,0.2435706467364271,1990-12-01
MX-AGU,1991,1,13.919982844288768,0.5285772160203026,1991-01-01
MX-AGU,1991,2,15.55539311159506,6.7506795468695815,1991-02-01
MX-AGU,1991,3,18.43449400397914,0.0367638019553031,1991-03-01
MX-AGU,1991,4,21.252384005542734,0.08288101365991285,1991-04-01
MX-AGU,1991,5,23.265680108374287,3.2416969442569386,1991-05-01
MX-AGU,1991,6,22.15364907658728,29.81252941972166,1991-06-01
MX-AGU,1991,7,18.19912151629767,143.80733340467128,1991-07-01
MX-AGU,1991,8,19.374766484141603,35.876962246470164,1991-08-01
MX-AGU,1991,9,18.087119712311452,61.95805592937686,1991-09-01
MX-AGU,1991,10,17.077271644832916,15.076420709259574,1991-10-01
MX-AGU,1991,11,15.588939396655169,2.029660142488488,1991-11-01
MX-AGU,1991,12,14.238667081100939,6.101738120420319,1991-12-01
MX-AGU,1992,1,11.880720237687038,59.334877750475485,1992-01-01
MX-AGU,1992,2,12.997348922501896,9.187212366322026,1992-02-01
MX-AGU,1992,3,17.44326806070464,0.8252106182177177,1992-03-01
MX-AGU,1992,4,18.853473279231746,1.6534111393763913,1992-04-01
MX-AGU,1992,5,19.766414903364346,28.633215044124402,1992-05-01
MX-AGU,1992,6,22.59276049858175,16.891616488330772,1992-06-01
MX-AGU,1992,7,20.422957235880506,59.33530588940792,1992-07-01
MX-AGU,1992,8,19.255683718120952,49.80670404700844,1992-08-01
MX-AGU,1992,9,19.230894037165672,27.230390871560523,1992-09-01
MX-AGU,1992,10,16.84433735180178,39.724845945675256,1992-10-01
MX-AGU,1992,11,14.819413008900035,10.530266123009149,1992-11-01
MX-AGU,1992,12,15.397673331936177,1.9097375524822937,1992-12-01
MX-AGU,1993,1,14.010388747311776,10.644572685180504,1993-01-01
MX-AGU,1993,2,14.988759771234777,0.3243867053607925,1993-02-01
MX-AGU,1993,3,16.99406350329595,0.02942582537269018,1993-03-01
MX-AGU,1993,4,19.567140240430316,3.3033201392734712,1993-04-01
MX-AGU,1993,5,21.10598996472365,5.679455201505826,1993-05-01
MX-AGU,1993,6,22.069985309085276,50.448854526194594,1993-06-01
MX-AGU,1993,7,19.29779340190221,68.13107206242007,1993-07-01
MX-AGU,1993,8,20.31672234450525,26.189316536781302,1993-08-01
MX-AGU,1993,9,18.186305137367246,46.42468151547879,1993-09-01
MX-AGU,1993,10,18.813855105945454,13.434130644665764,1993-10-01
MX-AGU,1993,11,17.18784476507917,3.2793739676298164,1993-11-01
MX-AGU,1993,12,15.266627350343153,0.08244736209001623,1993-12-01
MX-AGU,1994,1,14.23538089801529,3.4060797868154666,1994-01-01
MX-AGU,1994,2,16.872010126321427,0.2360300809594693,1994-02-01
MX-AGU,1994,3,19.10746683841878,0.4842184316717941,1994-03-01
MX-AGU,1994,4,20.300457805411135,4.154129564556974,1994-04-01
MX-AGU,1994,5,23.75310277284136,4.477657862774468,1994-05-01
MX-AGU,1994,6,20.860749451235286,59.54578321603574,1994-06-01
MX-AGU,1994,7,20.772138973077357,36.49644478203008,1994-07-01
MX-AGU,1994,8,19.30939186886572,64.2507517686654,1994-08-01
MX-AGU,1994,9,18.923510792647125,39.32518117539452,1994-09-01
