iso3,rne_iso_code,year,month,monthly_cases,monthly_cases_per_100000_pop,population,month_start,mean_temp_celsius,total_precip_mm,gt_Aedes_aegypti,gt_dengue,gt_epidemic,gt_fumigation,gt_insecticide,gt_mosquito,gt_public_health,gt_source_management,gt_vector,mean_temp_celsius_lag1,mean_temp_celsius_lag2,mean_temp_celsius_lag3,mean_temp_celsius_lag4,mean_temp_celsius_lag5,mean_temp_celsius_lag6,total_precip_mm_lag1,total_precip_mm_lag2,total_precip_mm_lag3,total_precip_mm_lag4,total_precip_mm_lag5,total_precip_mm_lag6,monthly_cases_lag1,monthly_cases_lag12,monthly_cases_lag24,gt_Aedes_aegypti_lag1,gt_Aedes_aegypti_lag12,gt_Aedes_aegypti_lag24,gt_dengue_lag1,gt_dengue_lag12,gt_dengue_lag24,gt_epidemic_lag1,gt_epidemic_lag12,gt_epidemic_lag24,gt_fumigation_lag1,gt_fumigation_lag12,gt_fumigation_lag24,gt_insecticide_lag1,gt_insecticide_lag12,gt_insecticide_lag24,gt_mosquito_lag1,gt_mosquito_lag12,gt_mosquito_lag24,gt_public_health_lag1,gt_public_health_lag12,gt_public_health_lag24,gt_source_management_lag1,gt_source_management_lag12,gt_source_management_lag24,gt_vector_lag1,gt_vector_lag12,gt_vector_lag24
MEX,MX-AGU,2004,1,0,0,1071266.125,2004-01-01,12.630586110623144,19.371966939698098,0,0,0,0,0,0,0,0,0,13.36992138921918,17.738594861702083,18.189201570993283,19.570804468740153,20.227709357634136,20.343957332944488,0.019615760634274667,0.16499340955862668,19.058273806648707,67.8609292968436,47.065447558598756,58.84659401670146,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,MX-AGU,2004,2,0,0,1071266.125,2004-02-01,13.978103957877245,0.5696479089485257,0,0,0,0,0,0,0,0,0,12.630586110623144,13.36992138921918,17.738594861702083,18.189201570993283,19.570804468740153,20.227709357634136,19.371966939698098,0.019615760634274667,0.16499340955862668,19.058273806648707,67.8609292968436,47.065447558598756,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,3,0,0,1071266.125,2004-03-01,18.137586109446932,12.953162723118533,0,0,0,0,0,0,0,0,0,13.978103957877245,12.630586110623144,13.36992138921918,17.738594861702083,18.189201570993283,19.570804468740153,0.5696479089485257,19.371966939698098,0.019615760634274667,0.16499340955862668,19.058273806648707,67.8609292968436,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,4,0,0,1071266.125,2004-04-01,19.689077893132406,0.9100620022417422,0,0,0,0,0,0,0,0,0,18.137586109446932,13.978103957877245,12.630586110623144,13.36992138921918,17.738594861702083,18.189201570993283,12.953162723118533,0.5696479089485257,19.371966939698098,0.019615760634274667,0.16499340955862668,19.058273806648707,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,5,0,0,1071266.125,2004-05-01,21.83114900051767,12.53994506681053,0,0,0,0,0,0,0,0,0,19.689077893132406,18.137586109446932,13.978103957877245,12.630586110623144,13.36992138921918,17.738594861702083,0.9100620022417422,12.953162723118533,0.5696479089485257,19.371966939698098,0.019615760634274667,0.16499340955862668,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,6,0,0,1071266.125,2004-06-01,19.88091425283314,57.42045099363731,0,0,0,0,0,0,0,0,0,21.83114900051767,19.689077893132406,18.137586109446932,13.978103957877245,12.630586110623144,13.36992138921918,12.53994506681053,0.9100620022417422,12.953162723118533,0.5696479089485257,19.371966939698098,0.019615760634274667,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,7,0,0,1071266.125,2004-07-01,20.071814955502855,41.606956989656176,0,0,0,0,0,0,0,0,0,19.88091425283314,21.83114900051767,19.689077893132406,18.137586109446932,13.978103957877245,12.630586110623144,57.42045099363731,12.53994506681053,0.9100620022417422,12.953162723118533,0.5696479089485257,19.371966939698098,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,8,0,0,1071266.125,2004-08-01,20.238486795407045,34.54424785304221,0,0,0,0,0,0,0,0,0,20.071814955502855,19.88091425283314,21.83114900051767,19.689077893132406,18.137586109446932,13.978103957877245,41.606956989656176,57.42045099363731,12.53994506681053,0.9100620022417422,12.953162723118533,0.5696479089485257,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,9,0,0,1071266.125,2004-09-01,19.19012518798508,57.34888776995844,0,0,0,0,0,0,0,0,0,20.238486795407045,20.071814955502855,19.88091425283314,21.83114900051767,19.689077893132406,18.137586109446932,34.54424785304221,41.606956989656176,57.42045099363731,12.53994506681053,0.9100620022417422,12.953162723118533,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,10,0,0,1071266.125,2004-10-01,19.19941344054118,10.207027480226929,0,0,0,0,0,0,0,0,0,19.19012518798508,20.238486795407045,20.071814955502855,19.88091425283314,21.83114900051767,19.689077893132406,57.34888776995844,34.54424785304221,41.606956989656176,57.42045099363731,12.53994506681053,0.9100620022417422,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,11,0,0,1071266.125,2004-11-01,15.70661322478811,4.962975073045605,0,0,0,0,0,0,0,0,0,19.19941344054118,19.19012518798508,20.238486795407045,20.071814955502855,19.88091425283314,21.83114900051767,10.207027480226929,57.34888776995844,34.54424785304221,41.606956989656176,57.42045099363731,12.53994506681053,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2004,12,0,0,1071266.125,2004-12-01,13.326254215953691,1.2845345969371755,0,0,0,0,0,0,0,0,100,15.70661322478811,19.19941344054118,19.19012518798508,20.238486795407045,20.071814955502855,19.88091425283314,4.962975073045605,10.207027480226929,57.34888776995844,34.54424785304221,41.606956989656176,57.42045099363731,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
MEX,MX-AGU,2005,1,0,0,1091054.125,2005-01-01,14.355759249352719,2.575840221325977,0,0,0,0,0,0,0,0,0,13.326254215953691,15.70661322478811,19.19941344054118,19.19012518798508,20.238486795407045,20.071814955502855,1.2845345969371755,4.962975073045605,10.207027480226929,57.34888776995844,34.54424785304221,41.606956989656176,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,100,0,NA
MEX,MX-AGU,2005,2,0,0,1091054.125,2005-02-01,15.491438061958142,9.113214564563734,0,0,0,0,0,0,0,0,0,14.355759249352719,13.326254215953691,15.70661322478811,19.19941344054118,19.19012518798508,20.238486795407045,2.575840221325977,1.2845345969371755,4.962975073045605,10.207027480226929,57.34888776995844,34.54424785304221,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,3,0,0,1091054.125,2005-03-01,17.06348022030248,3.4403398047936276,0,0,0,0,0,0,0,0,0,15.491438061958142,14.355759249352719,13.326254215953691,15.70661322478811,19.19941344054118,19.19012518798508,9.113214564563734,2.575840221325977,1.2845345969371755,4.962975073045605,10.207027480226929,57.34888776995844,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,4,0,0,1091054.125,2005-04-01,21.653844034511597,0.1633520398324543,0,0,0,0,0,0,0,0,0,17.06348022030248,15.491438061958142,14.355759249352719,13.326254215953691,15.70661322478811,19.19941344054118,3.4403398047936276,9.113214564563734,2.575840221325977,1.2845345969371755,4.962975073045605,10.207027480226929,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,5,0,0,1091054.125,2005-05-01,22.2671531015748,2.280780562842801,0,0,0,0,0,0,0,0,0,21.653844034511597,17.06348022030248,15.491438061958142,14.355759249352719,13.326254215953691,15.70661322478811,0.1633520398324543,3.4403398047936276,9.113214564563734,2.575840221325977,1.2845345969371755,4.962975073045605,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,6,0,0,1091054.125,2005-06-01,24.52404444995697,4.321810833060015,0,0,0,0,0,0,0,0,0,22.2671531015748,21.653844034511597,17.06348022030248,15.491438061958142,14.355759249352719,13.326254215953691,2.280780562842801,0.1633520398324543,3.4403398047936276,9.113214564563734,2.575840221325977,1.2845345969371755,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,7,0,0,1091054.125,2005-07-01,21.151629611175785,49.030601133262124,0,0,0,0,0,0,0,0,0,24.52404444995697,22.2671531015748,21.653844034511597,17.06348022030248,15.491438061958142,14.355759249352719,4.321810833060015,2.280780562842801,0.1633520398324543,3.4403398047936276,9.113214564563734,2.575840221325977,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,8,0,0,1091054.125,2005-08-01,19.65097522472186,52.29561621043431,0,0,0,0,0,0,0,0,0,21.151629611175785,24.52404444995697,22.2671531015748,21.653844034511597,17.06348022030248,15.491438061958142,49.030601133262124,4.321810833060015,2.280780562842801,0.1633520398324543,3.4403398047936276,9.113214564563734,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
MEX,MX-AGU,2005,9,0,0,1091054.125,2005-09-01,19.952237119638593,21.351100248579144,0,0,0,0,0,0,0,0,0,19.65097522472186,21.151629611175785,24.52404444995697,22.2671531015748,21.653844034511597,17.06348022030248,52.29561621043431,49.030601133262124,4.321810833060015,2.280780562842801,0.1633520398324543,3.4403398047936276,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
