predictor,processing,max_abs_ccf,lag_at_max_abs,ccf_at_lag0
dengue,processed,0.6623309113655328,11,0.2958317093292908
dengue,raw,0.7614704971726131,0,0.7614704971726131
mosquito,processed,0.3625729603417606,6,0.278738684540279
mosquito,raw,0.42501606365774014,1,0.4201063682640666
sintomas_de_dengue,processed,0.4596758380514242,10,-0.08353589950691728
sintomas_de_dengue,raw,0.5041913561386273,10,-0.101236135227952
