adm_0_name,start_date,end_date,Year,T_res,dengue_total
BRAZIL,2015-01-04,2015-01-10,2015,Week,11751
BRAZIL,2015-01-11,2015-01-17,2015,Week,15597
BRAZIL,2015-01-18,2015-01-24,2015,Week,24146
BRAZIL,2015-01-25,2015-01-31,2015,Week,30277
BRAZIL,2015-02-01,2015-02-07,2015,Week,38725
BRAZIL,2015-02-08,2015-02-14,2015,Week,39615
BRAZIL,2015-02-15,2015-02-21,2015,Week,47672
BRAZIL,2015-02-22,2015-02-28,2015,Week,59624
BRAZIL,2015-03-01,2015-03-07,2015,Week,78887
BRAZIL,2015-03-08,2015-03-14,2015,Week,91632
BRAZIL,2015-03-15,2015-03-21,2015,Week,100447
BRAZIL,2015-03-22,2015-03-28,2015,Week,92318
BRAZIL,2015-03-29,2015-04-04,2015,Week,87022
BRAZIL,2015-04-05,2015-04-11,2015,Week,103082
BRAZIL,2015-04-12,2015-04-18,2015,Week,94220
BRAZIL,2015-04-19,2015-04-25,2015,Week,93167
BRAZIL,2015-04-26,2015-05-02,2015,Week,90847
BRAZIL,2015-05-03,2015-05-09,2015,Week,79733
BRAZIL,2015-05-10,2015-05-16,2015,Week,64716
BRAZIL,2015-05-17,2015-05-23,2015,Week,51213
BRAZIL,2015-05-24,2015-05-30,2015,Week,39502
BRAZIL,2015-05-31,2015-06-06,2015,Week,31193
BRAZIL,2015-06-07,2015-06-13,2015,Week,27220
BRAZIL,2015-06-14,2015-06-20,2015,Week,22849
BRAZIL,2015-06-21,2015-06-27,2015,Week,15825
BRAZIL,2015-06-28,2015-07-04,2015,Week,12489
BRAZIL,2015-07-05,2015-07-11,2015,Week,10389
BRAZIL,2015-07-12,2015-07-18,2015,Week,9142
BRAZIL,2015-07-19,2015-07-25,2015,Week,8609
BRAZIL,2015-07-26,2015-08-01,2015,Week,7301
BRAZIL,2015-08-02,2015-08-08,2015,Week,6732
BRAZIL,2015-08-09,2015-08-15,2015,Week,6612
BRAZIL,2015-08-16,2015-08-22,2015,Week,5776
BRAZIL,2015-08-23,2015-08-29,2015,Week,5053
BRAZIL,2015-08-30,2015-09-05,2015,Week,5162
BRAZIL,2015-09-06,2015-09-12,2015,Week,5311
BRAZIL,2015-09-13,2015-09-19,2015,Week,5397
BRAZIL,2015-09-20,2015-09-26,2015,Week,5185
BRAZIL,2015-09-27,2015-10-03,2015,Week,5492
BRAZIL,2015-10-04,2015-10-10,2015,Week,5532
BRAZIL,2015-10-11,2015-10-17,2015,Week,5603
BRAZIL,2015-10-18,2015-10-24,2015,Week,6365
BRAZIL,2015-10-25,2015-10-31,2015,Week,6847
BRAZIL,2015-11-01,2015-11-07,2015,Week,9246
BRAZIL,2015-11-08,2015-11-14,2015,Week,11636
BRAZIL,2015-11-15,2015-11-21,2015,Week,13347
BRAZIL,2015-11-22,2015-11-28,2015,Week,14382
BRAZIL,2015-11-29,2015-12-05,2015,Week,18723
BRAZIL,2015-12-06,2015-12-12,2015,Week,21570
BRAZIL,2015-12-13,2015-12-19,2015,Week,21355
BRAZIL,2015-12-20,2015-12-26,2015,Week,18293
BRAZIL,2015-12-27,2016-01-02,2015,Week,12494
BRAZIL,2016-01-03,2016-01-09,2016,Week,72350
BRAZIL,2016-01-10,2016-01-16,2016,Week,79969
BRAZIL,2016-01-17,2016-01-23,2016,Week,88997
BRAZIL,2016-01-24,2016-01-30,2016,Week,96367
BRAZIL,2016-01-31,2016-02-06,2016,Week,106803
BRAZIL,2016-02-07,2016-02-13,2016,Week,124867
BRAZIL,2016-02-14,2016-02-20,2016,Week,146906
BRAZIL,2016-02-21,2016-02-27,2016,Week,144865
BRAZIL,2016-02-28,2016-03-05,2016,Week,140065
BRAZIL,2016-03-06,2016-03-12,2016,Week,131088
BRAZIL,2016-03-13,2016-03-19,2016,Week,123335
BRAZIL,2016-03-20,2016-03-26,2016,Week,111645
BRAZIL,2016-03-27,2016-04-02,2016,Week,121040
BRAZIL,2016-04-03,2016-04-09,2016,Week,114628
BRAZIL,2016-04-10,2016-04-16,2016,Week,101246
BRAZIL,2016-04-17,2016-04-23,2016,Week,80600
BRAZIL,2016-04-24,2016-04-30,2016,Week,65947
BRAZIL,2016-05-01,2016-05-07,2016,Week,51531
BRAZIL,2016-05-08,2016-05-14,2016,Week,39976
BRAZIL,2016-05-15,2016-05-21,2016,Week,31719
BRAZIL,2016-05-22,2016-05-28,2016,Week,22184
BRAZIL,2016-05-29,2016-06-04,2016,Week,18741
BRAZIL,2016-06-05,2016-06-11,2016,Week,15270
BRAZIL,2016-06-12,2016-06-18,2016,Week,13162
BRAZIL,2016-06-19,2016-06-25,2016,Week,10722
BRAZIL,2016-06-26,2016-07-02,2016,Week,9545
BRAZIL,2016-07-03,2016-07-09,2016,Week,8518
BRAZIL,2016-07-10,2016-07-16,2016,Week,7703
BRAZIL,2016-07-17,2016-07-23,2016,Week,6634
BRAZIL,2016-07-24,2016-07-30,2016,Week,6021
BRAZIL,2016-07-31,2016-08-06,2016,Week,5904
BRAZIL,2016-08-07,2016-08-13,2016,Week,5494
BRAZIL,2016-08-14,2016-08-20,2016,Week,5682
BRAZIL,2016-08-21,2016-08-27,2016,Week,5081
BRAZIL,2016-08-28,2016-09-03,2016,Week,4568
BRAZIL,2016-09-04,2016-09-10,2016,Week,4518
BRAZIL,2016-09-11,2016-09-17,2016,Week,4972
BRAZIL,2016-09-18,2016-09-24,2016,Week,4737
BRAZIL,2016-09-25,2016-10-01,2016,Week,4535
BRAZIL,2016-10-02,2016-10-08,2016,Week,4561
BRAZIL,2016-10-09,2016-10-15,2016,Week,5221
BRAZIL,2016-10-16,2016-10-22,2016,Week,5945
BRAZIL,2016-10-23,2016-10-29,2016,Week,5643
BRAZIL,2016-10-30,2016-11-05,2016,Week,6070
BRAZIL,2016-11-06,2016-11-12,2016,Week,6328
BRAZIL,2016-11-13,2016-11-19,2016,Week,6801
BRAZIL,2016-11-20,2016-11-26,2016,Week,7625
BRAZIL,2016-11-27,2016-12-03,2016,Week,8074
BRAZIL,2016-12-04,2016-12-10,2016,Week,8083
BRAZIL,2016-12-11,2016-12-17,2016,Week,7450
BRAZIL,2016-12-18,2016-12-24,2016,Week,6593
BRAZIL,2016-12-25,2016-12-31,2016,Week,4153
BRAZIL,2017-01-01,2017-01-07,2017,Week,11969
BRAZIL,2017-01-08,2017-01-14,2017,Week,12690
BRAZIL,2017-01-15,2017-01-21,2017,Week,13971
BRAZIL,2017-01-22,2017-01-28,2017,Week,15414
BRAZIL,2017-01-29,2017-02-04,2017,Week,16556
BRAZIL,2017-02-05,2017-02-11,2017,Week,16810
BRAZIL,2017-02-12,2017-02-18,2017,Week,17579
BRAZIL,2017-02-19,2017-02-25,2017,Week,15063
BRAZIL,2017-02-26,2017-03-04,2017,Week,16580
BRAZIL,2017-03-05,2017-03-11,2017,Week,18737
BRAZIL,2017-03-12,2017-03-18,2017,Week,18435
BRAZIL,2017-03-19,2017-03-25,2017,Week,18988
BRAZIL,2017-03-26,2017-04-01,2017,Week,18091
BRAZIL,2017-04-02,2017-04-08,2017,Week,18837
BRAZIL,2017-04-09,2017-04-15,2017,Week,17899
BRAZIL,2017-04-16,2017-04-22,2017,Week,17742
BRAZIL,2017-04-23,2017-04-29,2017,Week,15774
BRAZIL,2017-04-30,2017-05-06,2017,Week,16108
BRAZIL,2017-05-07,2017-05-13,2017,Week,15586
BRAZIL,2017-05-14,2017-05-20,2017,Week,14776
BRAZIL,2017-05-21,2017-05-27,2017,Week,12375
BRAZIL,2017-05-28,2017-06-03,2017,Week,12245
BRAZIL,2017-06-04,2017-06-10,2017,Week,10521
BRAZIL,2017-06-11,2017-06-17,2017,Week,8417
BRAZIL,2017-06-18,2017-06-24,2017,Week,7801
BRAZIL,2017-06-25,2017-07-01,2017,Week,6596
BRAZIL,2017-07-02,2017-07-08,2017,Week,5266
BRAZIL,2017-07-09,2017-07-15,2017,Week,4832
BRAZIL,2017-07-16,2017-07-22,2017,Week,4220
BRAZIL,2017-07-23,2017-07-29,2017,Week,4011
BRAZIL,2017-07-30,2017-08-05,2017,Week,4260
BRAZIL,2017-08-06,2017-08-12,2017,Week,4064
BRAZIL,2017-08-13,2017-08-19,2017,Week,3971
BRAZIL,2017-08-20,2017-08-26,2017,Week,4055
BRAZIL,2017-08-27,2017-09-02,2017,Week,4083
BRAZIL,2017-09-03,2017-09-09,2017,Week,3936
BRAZIL,2017-09-10,2017-09-16,2017,Week,4843
BRAZIL,2017-09-17,2017-09-23,2017,Week,4998
BRAZIL,2017-09-24,2017-09-30,2017,Week,4721
BRAZIL,2017-10-01,2017-10-07,2017,Week,5060
BRAZIL,2017-10-08,2017-10-14,2017,Week,5067
BRAZIL,2017-10-15,2017-10-21,2017,Week,5520
BRAZIL,2017-10-22,2017-10-28,2017,Week,4896
BRAZIL,2017-10-29,2017-11-04,2017,Week,4655
BRAZIL,2017-11-05,2017-11-11,2017,Week,5204
BRAZIL,2017-11-12,2017-11-18,2017,Week,5111
BRAZIL,2017-11-19,2017-11-25,2017,Week,5014
BRAZIL,2017-11-26,2017-12-02,2017,Week,5294
BRAZIL,2017-12-03,2017-12-09,2017,Week,5252
BRAZIL,2017-12-10,2017-12-16,2017,Week,5201
BRAZIL,2017-12-17,2017-12-23,2017,Week,3905
BRAZIL,2017-12-24,2017-12-30,2017,Week,2240
BRAZIL,2017-12-31,2018-01-06,2017,Week,7588
BRAZIL,2018-01-07,2018-01-13,2018,Week,9052
BRAZIL,2018-01-14,2018-01-20,2018,Week,11169
BRAZIL,2018-01-21,2018-01-27,2018,Week,10692
BRAZIL,2018-01-28,2018-02-03,2018,Week,11348
BRAZIL,2018-02-04,2018-02-10,2018,Week,10088
BRAZIL,2018-02-11,2018-02-17,2018,Week,10947
BRAZIL,2018-02-18,2018-02-24,2018,Week,12141
BRAZIL,2018-02-25,2018-03-03,2018,Week,13366
BRAZIL,2018-03-04,2018-03-10,2018,Week,14537
BRAZIL,2018-03-11,2018-03-17,2018,Week,14536
BRAZIL,2018-03-18,2018-03-24,2018,Week,14432
BRAZIL,2018-03-25,2018-03-31,2018,Week,13743
BRAZIL,2018-04-01,2018-04-07,2018,Week,17750
BRAZIL,2018-04-08,2018-04-14,2018,Week,18769
BRAZIL,2018-04-15,2018-04-21,2018,Week,18219
BRAZIL,2018-04-22,2018-04-28,2018,Week,15180
BRAZIL,2018-04-29,2018-05-05,2018,Week,16547
BRAZIL,2018-05-06,2018-05-12,2018,Week,15782
BRAZIL,2018-05-13,2018-05-19,2018,Week,13836
BRAZIL,2018-05-20,2018-05-26,2018,Week,11126
BRAZIL,2018-05-27,2018-06-02,2018,Week,9032
BRAZIL,2018-06-03,2018-06-09,2018,Week,8745
BRAZIL,2018-06-10,2018-06-16,2018,Week,8748
BRAZIL,2018-06-17,2018-06-23,2018,Week,7586
BRAZIL,2018-06-24,2018-06-30,2018,Week,6455
BRAZIL,2018-07-01,2018-07-07,2018,Week,6360
BRAZIL,2018-07-08,2018-07-14,2018,Week,5513
