geo,predictor,set,intercept,correlation,R2,RMSE
BR,dengue,train,9.276877698566334,0.8339781995343674,0.6444809013252749,21792.05178153632
BR,dengue,test,NA,0.9799098702189069,0.34317364564536423,27652.036781451843
BR,mosquito,train,9.554689006077318,0.7083938328081395,0.4037336706040495,28221.935631886096
BR,mosquito,test,NA,0.8489734706697247,0.057402796901215414,33125.68855014066
BR,sintomas_de_dengue,train,9.178270110962522,0.8079048130498039,0.630282385687847,22222.950815488522
BR,sintomas_de_dengue,test,NA,0.9061966066127107,0.5744034009218002,22258.75736091222
