geo,origin_week,calendar_week,prediction_week,prediction_lead,actual,predicted,APE,model,lambda,n_nonzero_search,train_n,reporting_lag,transform,case_lags
MX,2017-12-24,2018-01-21,2017-12-31,1,68,138.51747409295365,103.70216778375536,ar,NA,0,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-07,2,280,168.35620847573523,39.87278268723742,ar,NA,0,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-14,3,301,198.8686839295635,33.930669790842686,ar,NA,0,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-21,4,339,217.36045567119663,35.88187148342282,ar,NA,0,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2017-12-31,1,68,173.23355527304912,154.75522834271928,argo,0.029593741175639843,4,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-07,2,280,199.32140025012055,28.81378562495695,argo,0.029593741175639843,4,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-14,3,301,207.2202487419889,31.156063540867475,argo,0.029593741175639843,4,156,4,log1p,"1,2,3,52,104"
MX,2017-12-24,2018-01-21,2018-01-21,4,339,226.07711472214368,33.31058562768623,argo,0.029593741175639843,4,156,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-07,1,280,106.42597364910793,61.99072369674716,ar,NA,0,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-14,2,301,131.95333112095523,56.16168401297169,ar,NA,0,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-21,3,339,167.5340910866626,50.57991413372784,ar,NA,0,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-28,4,307,167.6681954111138,45.38495263481635,ar,NA,0,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-07,1,280,107.52649032921934,61.59768202527881,argo,0.017198292504196164,5,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-14,2,301,118.58443195345896,60.603178753003675,argo,0.017198292504196164,5,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-21,3,339,149.7130192708282,55.8368674717321,argo,0.017198292504196164,5,157,4,log1p,"1,2,3,52,104"
MX,2017-12-31,2018-01-28,2018-01-28,4,307,147.94317933900726,51.81003930325496,argo,0.017198292504196164,5,157,4,log1p,"1,2,3,52,104"
MX,2018-01-07,2018-02-04,2018-01-14,1,301,196.14831036972765,34.83444838215028,ar,NA,0,158,4,log1p,"1,2,3,52,104"
MX,2018-01-07,2018-02-04,2018-01-21,2,339,253.8988066566099,25.103596856457255,ar,NA,0,158,4,log1p,"1,2,3,52,104"
MX,2018-01-07,2018-02-04,2018-01-28,3,307,209.97622195504425,31.603836496728256,ar,NA,0,158,4,log1p,"1,2,3,52,104"
