predictor,set,intercept,correlation,R2,RMSE
dengue,train,5.094299505266331,0.7847778943685866,0.6145408049969763,1283.4220690495229
dengue,test,NA,0.6299396086559622,-5097.598981276079,451770.547603953
mosquito,train,5.432589900992063,0.36388199396961995,0.11988083404029892,1939.32696981449
mosquito,test,NA,0.6970884820371307,0.12993313576545384,5901.586834584843
sintomas_de_dengue,train,7.438652406270783,0.10123613522795202,0.010248755075892069,2056.569194649417
sintomas_de_dengue,test,NA,-0.6409675970370313,-0.4192403549068353,7537.380898655363
