date,cluster_1__influenza+flu,fever
2021-07-18,6.5,27
2021-07-25,7.25,27.5
2021-08-01,8.333333333333334,28
2021-08-08,11.399422403370817,29.299448350514837
2021-08-15,12.097745315143676,30.600593116864047
2021-08-22,12.924171593303127,31.237781697027835
2021-08-29,13.11238260213409,32.035025355562674
2021-09-05,14.238859308984512,32.07129540049971
2021-09-12,15.518249832048173,31.285645351506496
2021-09-19,17.249773428705705,30.35382468803909
2021-09-26,19.27695934102721,29.664339582198117
2021-10-03,21.030048873086646,29.14349154784169
2021-10-10,22.12822021749351,28.745165906772968
2021-10-17,22.002238527992883,27.85218085826815
2021-10-24,21.79165770013265,27.150667702857227
2021-10-31,21.24224872275397,26.60434878576787
2021-11-07,20.705348844002874,26.737745114134718
2021-11-14,20.32872850439344,26.610328228489028
2021-11-21,19.149904030312545,26.26170756407317
2021-11-28,18.7975675191166,27.07569909048221
2021-12-05,18.026853712653597,27.72807329329986
2021-12-12,17.913507529262073,29.117129050476862
2021-12-19,19.075199954764436,33.008657198681114
2021-12-26,21.267183335173748,40.049371693882826
2022-01-02,23.228447916345925,45.43168529429168
2022-01-09,22.542578716507407,47.907151349420744
2022-01-16,20.08818526096397,47.62080095630084
2022-01-23,17.454109041082077,44.676160224195065
2022-01-30,14.834823347138094,41.65575269307833
2022-02-06,12.578249841645716,37.86667266510756
2022-02-13,10.949296710421702,34.332089292401854
2022-02-20,9.849212150622472,31.355458601940875
2022-02-27,8.903407409587604,28.636769315654256
2022-03-06,8.152929772826901,26.654776071931995
2022-03-13,8.311702052972285,25.0965020427106
2022-03-20,8.262212418589609,24.44048851174653
2022-03-27,8.309379927711584,23.519907044552685
2022-04-03,8.843564464648665,23.35784294511939
2022-04-10,9.140923152642491,23.548805548965703
2022-04-17,9.629588162381623,23.609140030858267
2022-04-24,10.032387160570604,23.97672714540772
2022-05-01,10.172982013674586,24.940047484418905
2022-05-08,10.435224108458108,26.60150694281029
2022-05-15,10.420205506788761,28.186531009915903
2022-05-22,10.21877949942675,29.843024693061928
2022-05-29,9.7541451941304,31.132474353248043
2022-06-05,9.094456646347096,31.77242423226878
2022-06-12,8.106392066197497,31.79312162763189
2022-06-19,7.2590142435533815,32.016984506508166
2022-06-26,6.429223290709205,31.794845069760363
2022-07-03,6.3217276947015035,32.07457529756704
2022-07-10,5.61926712047868,32.00243615739145
2022-07-17,5.053987534489582,32.14182698201146
2022-07-24,4.620298820907623,31.975988283600422
2022-07-31,4.3694929492019785,30.987294500910284
2022-08-07,4.185675376478715,30.711551122751587
2022-08-14,4.348940173619429,29.873784381064247
2022-08-21,5.114764597074873,29.744819198120876
2022-08-28,5.793628822901595,29.128446004358374
2022-09-04,6.813356909430077,28.584348596325363
2022-09-11,8.503125983929541,27.889127519607943
2022-09-18,10.582068481726072,27.642021657610616
2022-09-25,12.720390821282592,27.250537754590443
2022-10-02,15.244625725393432,27.19998231918831
2022-10-09,18.213807922800505,27.491891182706294
2022-10-16,20.86732892583295,28.315939457957306
2022-10-23,24.704072608586163,29.82301855189761
2022-10-30,28.276193764019563,31.886540129550347
2022-11-06,30.675853061578817,33.36722415700296
2022-11-13,32.98359592641948,34.54092796781798
2022-11-20,35.68097991470018,37.40730217236477
2022-11-27,38.31656617966928,38.92523911262318
2022-12-04,40.137492120475834,40.667363099750176
2022-12-11,40.7179306298586,41.73186811319585
2022-12-18,40.11607234245404,42.422089480346415
2022-12-25,37.72554512538081,42.385789414309386
2023-01-01,33.0761675718169,39.750447065355495
2023-01-08,27.956208372534114,36.926590847148674
2023-01-15,23.15251612258889,34.16965496822399
2023-01-22,18.87302484361926,31.839163342241132
2023-01-29,15.145609445041414,31.2316559433557
2023-02-05,12.329496532753966,30.271352570685238
2023-02-12,9.886469696401472,28.9508469439506
2023-02-19,8.216444727437043,28.183317431570092
2023-02-26,6.820740341526053,27.621095725362462
2023-03-05,5.7230544980817895,26.988101215765223
2023-03-12,5.022476056107809,26.59331285053127
2023-03-19,4.816568134394204,26.40932777498702
2023-03-26,4.519942361419863,26.028906486755982
2023-04-02,4.219552415542202,25.768132022845847
2023-04-09,4.226555593352722,25.804990711827447
2023-04-16,4.47782199232959,25.844168331122766
2023-04-23,4.724403020411124,26.010287646158027
2023-04-30,5.039808233872951,25.938195309205582
2023-05-07,5.387097104543869,26.226879530364712
2023-05-14,5.391795775961624,26.499016298381402
2023-05-21,5.2607933128435835,26.816826968054485
2023-05-28,4.979529756448439,27.053893288710285
2023-06-04,4.622785648853741,26.693804549336225
2023-06-11,4.345623780524811,26.65510840843732
2023-06-18,4.133429213705864,26.22586183685634
2023-06-25,4.014430572197006,25.832110575967537
2023-07-02,3.7989929296766993,25.467418569399392
2023-07-09,3.6729645941216207,24.93857061175259
2023-07-16,3.583244180095551,24.521285812725083
2023-07-23,3.667866299728736,23.907259807249957
2023-07-30,3.7615495719057175,23.693619574559133
2023-08-06,4.019803220521825,23.55551555928414
2023-08-13,4.509101946512613,23.991190589358705
2023-08-20,5.049011198503996,24.39370886002103
2023-08-27,5.916334796367154,24.485954881116925
2023-09-03,7.052508625052103,24.84549903677823
2023-09-10,8.794344325556605,25.158926073700957
2023-09-17,10.775673393897307,25.39842837178644
2023-09-24,12.801591085861176,25.622446344998092
2023-10-01,14.40865362930832,25.807447764948638
2023-10-08,15.79873815400896,26.25647317559315
2023-10-15,17.11521080360378,26.63609939633216
2023-10-22,17.68688166118797,26.896745745741942
2023-10-29,18.040523040432706,26.860052214918163
2023-11-05,18.08355606139736,27.570682443076997
2023-11-12,18.413790812298384,28.42602344447822
2023-11-19,17.907134541226217,28.854505637520276
