date,cluster_1__influenza+flu,fever
2021-07-18,-9.887167876269071,NA
2021-07-25,-9.060902216616348,0.5
2021-08-01,-7.902031857115633,0.5
2021-08-08,-4.761134394396109,1.2994483505148366
2021-08-15,-3.988731723426543,1.3011447663492106
2021-08-22,-3.0889543195557305,0.6371885801637873
2021-08-29,-2.828120818498741,0.797243658534839
2021-09-05,-1.6297502529076322,0.036270044937033674
2021-09-12,-0.2791945045886255,-0.7856500489932117
2021-09-19,1.5227656838389123,-0.9318206634674056
2021-09-26,3.6196595544450876,-0.6894851058409728
2021-10-03,5.441728411303849,-0.5208480343564261
2021-10-10,6.608150447024704,-0.39832564106872326
2021-10-17,6.549690815352726,-0.8929850485048192
2021-10-24,6.405903411835803,-0.7015131554109217
2021-10-31,5.922559225315094,-0.5463189170893585
2021-11-07,5.450995503936628,0.13339632836684956
2021-11-14,5.138982688214487,-0.12741688564569031
2021-11-21,4.024037104535546,-0.3486206644158578
2021-11-28,3.7348508502562154,0.8139915264090405
2021-12-05,3.026558667224487,0.6523742028176507
2021-12-12,2.9749054737788985,1.389055757177001
2021-12-19,4.1975622557418575,3.8915281482042516
2021-12-26,6.449781359126426,7.040714495201712
2022-01-02,8.470553029788519,5.382313600408857
2022-01-09,7.84346228595458,2.4754660551290613
2022-01-16,5.447118652930383,-0.2863503931199034
2022-01-23,2.8703636220823867,-2.944640732105775
2022-01-30,0.30767048368696415,-3.0204075311167387
2022-02-06,-1.893039099742193,-3.789080027970769
2022-02-13,-3.4668569423883273,-3.534583372705704
2022-02-20,-4.512534847095015,-2.976630690460979
2022-02-27,-5.40466156652268,-2.7186892862866188
2022-03-06,-6.10218981516152,-1.9819932437222612
2022-03-13,-5.891196780379612,-1.5582740292213941
2022-03-20,-5.889194293611105,-0.6560135309640707
2022-03-27,-5.791263296823283,-0.9205814671938448
2022-04-03,-5.207043905705696,-0.16206409943329447
2022-04-10,-4.860378997016705,0.19096260384631236
2022-04-17,-4.323136400067746,0.060334481892564185
2022-04-24,-3.872488448154275,0.3675871145494547
2022-05-01,-3.684773274811146,0.9633203390111831
2022-05-08,-3.376139493273815,1.6614594583913842
2022-05-15,-3.34549504167469,1.5850240671056142
2022-05-22,-3.5019866292535706,1.6564936831460244
2022-05-29,-3.9224151482521297,1.289449660186115
2022-06-05,-4.538626543222982,0.6399498790207367
2022-06-12,-5.483942604045469,0.020697395363111326
2022-06-19,-6.289300540847809,0.22386287887627532
2022-06-26,-7.077800241335554,-0.22213943674780268
2022-07-03,-7.144733218472159,0.2797302278066738
2022-07-10,-7.807359807309227,-0.07213914017558665
2022-07-17,-8.333534041397911,0.1393908246200084
2022-07-24,-8.728846036564793,-0.1658386984110365
2022-07-31,-8.942003823340698,-0.9886937826901381
2022-08-07,-9.088901944619566,-0.27574337815869754
2022-08-14,-8.88944632951979,-0.8377667416873393
2022-08-21,-8.088159721590628,-0.12896518294337156
2022-08-28,-7.374561944775526,-0.6163731937625023
2022-09-04,-6.320828940744002,-0.5440974080330108
2022-09-11,-4.597783582226839,-0.6952210767174201
2022-09-18,-2.486293433897945,-0.24710586199732631
2022-09-25,-0.31615207729440087,-0.39148390302017333
2022-10-02,2.2391732103781212,-0.050555435402131366
2022-10-09,5.238717157861538,0.29190886351798184
2022-10-16,7.921871277484989,0.8240482752510125
2022-10-23,11.787519443343866,1.5070790939403054
2022-10-30,15.387816448397595,2.063521577652736
2022-11-06,17.814922962091835,1.480684027452611
