date,geo,keyword,hits,topic_label,query_input,query_type,mid,topic_title,topic_type,fetched_keyword
2019-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2019-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-06-01,MX-GRO,control de vectores,69,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2020-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-04-01,MX-GRO,control de vectores,100,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2021-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-01-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-02-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-03-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-04-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-05-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-06-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-07-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-08-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-09-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-10-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-11-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
2022-12-01,MX-GRO,control de vectores,0,control_de_vectores,control de vectores,term,control de vectores,control de vectores,raw term,control de vectores
